; CSV, generated by libsigrok4DSL 0.2.0 on Wed Jan 25 11:07:32 2017
; Channels (13/16)
; Sample rate: 1 MHz
; Sample count: 64 M Samples
Time(s), PB0: SOUTH, PB1: SOUTH, PB2: SOUTH, PB3: EAST, PB4: EAST, PB5: EAST, PF1: DONT WALK, PF3: WALK, PE0: W_SENSOR, PE1: S_SENSOR, PE2: P_SENSOR, 11, 12
43.554978,0,1,0,0,0,1,1,0,0,1,1,0,0
44.055167,0,0,1,0,0,1,0,1,0,1,1,0,0
44.853735,0,0,1,0,0,1,0,1,0,0,1,0,0
45.243425,0,0,1,0,0,1,0,1,0,0,0,0,0
45.491696,0,0,1,0,0,1,0,1,0,0,1,0,0
47.622143,0,0,1,0,0,1,0,1,0,0,0,0,0
47.866496,0,0,1,0,0,1,0,1,1,0,0,0,0
48.056676,0,0,1,0,0,1,1,0,1,0,0,0,0
48.556865,0,0,1,0,0,1,0,0,1,0,0,0,0
49.057054,0,0,1,0,0,1,1,0,1,0,0,0,0
49.557243,0,0,1,0,0,1,0,0,1,0,0,0,0
50.057432,0,0,1,1,0,0,1,0,1,0,0,0,0
50.981686,0,0,1,1,0,0,1,0,0,0,0,0,0
51.357678,0,0,1,1,0,0,1,0,0,1,0,0,0
51.658036,0,0,1,0,1,0,1,0,0,1,0,0,0
52.158225,1,0,0,0,0,1,1,0,0,1,0,0,0
52.689423,1,0,0,0,0,1,1,0,0,0,0,0,0
53.079091,1,0,0,0,0,1,1,0,1,0,0,0,0
53.136587,1,0,0,0,0,1,1,0,1,1,0,0,0
53.136588,1,0,0,0,0,1,1,0,1,0,0,0,0
53.136589,1,0,0,0,0,1,1,0,1,1,0,0,0
53.758828,0,1,0,0,0,1,1,0,1,1,0,0,0
54.259017,0,0,1,1,0,0,1,0,1,1,0,0,0
55.059319,0,0,1,0,1,0,1,0,1,1,0,0,0
55.559508,1,0,0,0,0,1,1,0,1,1,0,0,0
56.35981,0,1,0,0,0,1,1,0,1,1,0,0,0
56.859999,0,0,1,1,0,0,1,0,1,1,0,0,0
57.162281,0,0,1,1,0,0,1,0,1,1,1,0,0
57.660301,0,0,1,0,1,0,1,0,1,1,1,0,0
58.16049,1,0,0,0,0,1,1,0,1,1,1,0,0
58.960792,0,1,0,0,0,1,1,0,1,1,1,0,0
59.460981,0,0,1,0,0,1,0,1,1,1,1,0,0
60.261283,0,0,1,0,0,1,1,0,1,1,1,0,0
60.761472,0,0,1,0,0,1,0,0,1,1,1,0,0
61.261661,0,0,1,0,0,1,1,0,1,1,1,0,0
61.76185,0,0,1,0,0,1,0,0,1,1,1,0,0
62.262039,0,0,1,1,0,0,1,0,1,1,1,0,0
63.062341,0,0,1,0,1,0,1,0,1,1,1,0,0
63.56253,1,0,0,0,0,1,1,0,1,1,1,0,0
64.362831,0,1,0,0,0,1,1,0,1,1,1,0,0
64.86302,0,0,1,0,0,1,0,1,1,1,1,0,0
65.663324,0,0,1,0,0,1,1,0,1,1,1,0,0
66.163513,0,0,1,0,0,1,0,0,1,1,1,0,0
66.663702,0,0,1,0,0,1,1,0,1,1,1,0,0
